#,Principle Name,SCF Data Privacy Management Principle (SCF-DPMP) Description,SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description","AICPA
TSC 2017:2022 (used for SOC 2)","APEC
Privacy Framework
2015",GAPP,"ISO
27701 
2025","ISO
29100
2024","NIST Privacy Framework
1.0","NIST
800-53
R5","NIST
800-53B R5
(privacy)","NIST
CSF
2.0","OECD
Privacy Principles","US
Data Privacy Framework (DPF)","US
FIPPS","US
HIPAA Administrative Simplification
2013","US - AK
PIPA","US - CA
CCPA
2025","US - CO
Colorado Privacy Act","US - IL
BIPA","US - IL
IPA","US - IL
PIPA","US - NV
SB220","US - OR
CPA","US - TN
Tennessee Information Protection Act ","US - TX
BC521","US - VA
CDPA
2025","US - VT
Act 171 of 2018","EMEA
EU
GDPR","EMEA
Saudi Arabia
Personal Data Protection Law (PDPL)","APAC
Australia
Privacy Act","APAC
Australian Privacy Principles","APAC
India
DPDPA 2023","APAC
New Zealand Privacy Act of 2020","Americas
Canada
PIPEDA"
,,,User Feedback Management,PRI-06.4,"Mechanisms exist to maintain a process to efficiently and effectively respond to requests, complaints, concerns or questions from authenticated data subjects about Personal Data (PD) the organization collects, receives, processes, stores, transmits, shares, updates and/or disposes.","P4.3-POF1
P5.1
P5.1-POF4
P5.1-POF5
P5.2
P5.2-POF1
P5.2-POF3
P5.2-POF4
P6.7-POF2
P8.1
P8.1-POF1
P8.1-POF2
P8.1-POF3",,"6.2.5
6.2.6
7.1.2
10.2.1
10.2.2",,6.10,"GV.MT-P4
GV.MT-P7
CM.AW-P2
CT.PO-P4",PM-26,PM-26,,"7(b)(i)
7(b)(ii)
7(b)(iii)
7(c)
7(d)","II.7.a.i
III.11.d.i
III.8.i.i",6,"164.526(b)(2)(i)
164.526(b)(2)(i)(A)
164.526(b)(2)(i)(B)
164.526(b)(2)(ii)
164.526(b)(2)(ii)(A)
164.526(b)(2)(ii)(B)
164.526(d)
164.526(d)(1)
164.526(d)(1)(i)
164.526(d)(1)(ii)
164.526(d)(1)(iii)
164.526(d)(1)(iv)
164.526(d)(2)
164.526(d)(3)
164.526(d)(4)
164.526(d)(5)(i)
164.526(d)(5)(ii)
164.526(d)(5)(iii)
164.526(e)
164.526(f)
164.530(d)(1)
164.530(d)(2)",,"7021(a)
7021(b)
7022(e)
7022(f)
7022(f)(1)
7023(a)
7023(d)(2)(A)
7023(d)(2)(B)
7023(d)(2)(C)
7023(d)(2)(D)
7023(f)(1)
7023(f)(2)
7023(f)(3)
7023(f)(4)
7023(i)
7023(j)
7023(k)
7024(c)
7024(c)(1)
7024(c)(2)
7024(c)(3)
7024(c)(4)
7024(d)
7024(d)(1)
7024(d)(2)
7024(e)
7024(e)(1)
7024(e)(2)
7024(k)
7024(k)(1)
7024(k)(2)
7024(k)(3)
7024(k)(4)
7024(k)(5)
7024(k)(6)
7027(h)
7027(k)","6-1-1306(2)(a)
6-1-1306(2)(b)
6-1-1306(2)(c)
6-1-1306(2)(d)",,,,"2.1
2.2
2.4","4(5)(a)
4(5)(b)
4(5)(c)
4(5)(d)
4(5)(e)
4(5)(e)(A)
4(5)(e)(B)
4(6)(b)
4(6)(c)
4(6)(d)
5(5)(a)(A)
5(5)(a)(B)
5(5)(a)(C)
5(5)(b)
5(5)(b)","47-18-3203(b)(1)
47-18-3203(b)(2)
47-18-3203(b)(3)
47-18-3203(b)(4)
47-18-3204(e)(1)(A)
47-18-3204(e)(1)(B)
47-18-3204(e)(1)(C)
47-18-3204(e)(2)
47-18-3207(b)(3)
47-18-3207(b)(3)(A)
47-18-3207(b)(3)(B)
47-18-3207(b)(3)(C)",,"59.1-577.B.1
59.1-577.B.2
59.1-577.B.3
59.1-577.B.4
59.1-577.C",,12.4,,APP Part 13,"APP 12
APP 13",,,
,,,Data Subject Authentication,PRI-06.8,"Mechanisms exist to utilize reasonable consumer expectations to verify a data subject's identity, prior to taking action to disclose, share, correct, amend and/or delete Personal Data (PD).",,,,,,,,,,,,,,,"7060(a)
7060(b)
7060(c)
7060(c)(1)
7060(c)(2)
7060(c)(3)
7060(c)(3)(A)
7060(c)(3)(B)
7060(c)(3)(C)
7060(c)(3)(D)
7060(c)(3)(E)
7060(c)(3)(F)
7060(d)
7060(e)
7060(f)
7060(g)
7060(h)
7061(a)
7061(b)
7062(a)
7062(b)
7062(c)
7062(d)
7062(f)
7062(g)",,,,,,,,,,,,,,,,,
,,,Reject Unauthenticated or Untrustworthy Disclosure Requests,PRI-07.4,"Mechanisms exist to reject unauthenticated, or untrustworthy, disclosure requests.","P5.1-POF4
P5.2-POF1
P5.2-POF3",,,,,CT.DM-P1,,,,,,,"164.524(d)(2)(i)
164.524(d)(2)(ii)
164.524(d)(2)(iii)
164.524(d)(3)",,"7022(a)
7023(b)
7024(a)
7024(b)
7026(e)",6-1-1306(1),,,,,4(5)(e)(B),47-18-3203(b)(4),,,,,,,,,,
6.2,Updating Personal Data,Provide data subjects with appropriate opportunity to correct or amend their personal data.,Updating & Correcting Personal Data (PD),DCH-22.1,"Mechanisms exist to utilize technical controls to correct Personal Data (PD) that is inaccurate or outdated, incorrectly determined regarding impact, or incorrectly de-identified.","P5.1
P5.2",,"6.2.5
6.2.6
10.2.1
10.2.2",,,CT.DM-P3,"SI-18(4)
SI-18(5)",SI-18(4),,,,,"164.526(a)(1)
164.526(b)(1)",,7023(c),6-1-1306(1)(c),,,,,,,,59.1-577.A.2,,,17.1,APP Part 13,APP 13,,"P6-(2)
Principle 7
P7-(1)
P7-(2)
P7-(3)(a)
P7-(3)(b)
P7-(4)
P7-(5)
P7-(6)",Principle 10
,,,Updating Personal Data (PD),PRI-12,Mechanisms exist to develop processes to identify and record the method under which Personal Data (PD) is updated and the frequency that such updates occur.,"P5.2
P5.2-POF2",,,,,CT.DM-P3,,,,,,,"164.526(a)(1)
164.526(b)(1)
164.526(e)
164.526(f)",,"7023(b)
7023(b)(1)
7023(b)(1)(A)
7023(b)(1)(B)
7023(b)(1)(C)
7023(b)(2)",,,,,2.3,,,,,,,17.1,,,,,
6.3,Redress,Provide data subjects with appropriate opportunity to challenge the organization's compliance with its data privacy principles. ,Correcting Inaccurate Personal Data (PD),PRI-06.1,"Mechanisms exist to maintain a process for:
(1) Data subjects to have inaccurate Personal Data (PD) maintained by the organization corrected or amended; and
(2) Disseminating corrections or amendments of PD to other authorized users of the PD.","P5.2
P5.2-POF2",8(c),"6.2.5
6.2.6
10.2.1
10.2.2",,6.9,"CM.AW-P8
CT.DM-P3","SI-18(4)
SI-18(5)",SI-18(4),,,II.6.a,1,"164.526(a)(1)
164.526(a)(2)
164.526(a)(2)(i)
164.526(a)(2)(ii)
164.526(a)(2)(iii)
164.526(a)(2)(iv)
164.526(b)(1)",,"7023(a)
7023(b)
7023(d)(1)
7023(d)(2)",6-1-1306(1)(c),,,,,3(1)(b),47-18-3203(a)(2)(B),,59.1-577.A.2,,,,APP Part 13,APP 13,"12(1)
12(2)(a)
12(2)(b)","P6-(2)
Principle 7
P7-(1)
P7-(2)
P7-(3)(a)
P7-(3)(b)
P7-(4)
P7-(5)
P7-(6)",Principle 10
6.4,Notice of Correction or Amendment,Notify affected data subjects and applicable third-parties when personal data is corrected or amended.,Notice of Correction or Processing Change,PRI-06.2,"Mechanisms exist to notify affected data subjects if their Personal Data (PD) has been corrected, amended or deleted.","P3.1-POF4
P5.2
P5.2-POF2
P5.2-POF3",,,,,"CM.AW-P1
CM.PO-P1
CT.PO-P4",SI-18(5),,,,,,"164.526(c)
164.526(c)(1)
164.526(c)(2)
164.526(c)(3)
164.526(c)(3)(i)
164.526(c)(3)(ii)",,"7022(e)
7023(f)",,,,,,,47-18-3203(b)(1),,,,,,APP Part 13,APP 13,,P6-(2),
,,,Obligation To Inform Third-Parties,PRI-07.3,"Mechanisms exist to inform applicable third-parties of any modification, deletion or other change that affects shared Personal Data (PD).",,,,,,"CM.AW-P5
CM.AW-P7",,,,,,,,,"7022(b)(2)
7022(b)(3)
7022(f)(4)
7023(c)
7026(f)(2)
7027(g)(2)
7027(g)(3)",,,,,,,,,59.1-579.B.2,,,,,,,,
6.5,Appeal,Provide data subjects with appropriate opportunity to appeal an adverse decision to have incorrect personal data amended.,Appeal Adverse Decision,PRI-06.3,Mechanisms exist to maintain a process for data subjects to appeal an adverse decision.,P5.2,,,,,CM.AW-P8,PM-26,PM-26,,,,,164.524(d)(4),,"7023(d)(1)
7023(f)(3)","6-1-1306(3)(a)
6-1-1306(3)(b)
6-1-1306(3)(c)",,,,,4(6)(a),47-18-3203(c),,59.1-577.C,,,,,,,,Sec 11
6.6,Right to Erasure,"Provide data subjects with appropriate opportunity to request the deletion of personal data where it is used, disseminated, maintained, retained and/or disclosed, including where the personal data is stored or processed by third-parties.",Right to Erasure,PRI-06.5,"Mechanisms exist to maintain a process to erase a data subject's Personal Data (PD), in accordance with applicable laws, regulations and contractual obligations pertaining to the retention of their PD.",P4.3-POF1,,,,,CT.DM-P4,,,,,,,,,"7022(b)(1)
7022(f)(2)",6-1-1306(1)(d),,,,,3(1)(c),"47-18-3203(a)(2)(C)
47-18-3203(a)(2)(C)(i)(a)
47-18-3203(a)(2)(C)(i)(b)
47-18-3203(a)(2)(C)(ii)",,59.1-577.A.3,,"17.1(a)
17.1(b)
17.1(c)
17.1(d)
17.1(e)
17.1(f)
17.2
17.3
17.3(a)
17.3(b)
17.3(c)
17.3(d)
17.3(e)",,,,"12(1)
12(3)
8(7)(a)",,
7,Cybersecurity by Design,"Establish administrative, technical and physical safeguards to protect sensitive/regulated data commensurate with the risk and magnitude of the harm that would result from its unauthorized access, use, modification, loss or dissemination. Selected practices are in accordance with industry-leading practices (e.g., ISO 27002, NIST 800-53, Secure Controls Framework (SCF), etc.).",Operationalizing Cybersecurity & Data Protection Practices,GOV-15,"Mechanisms exist to compel data and/or process owners to operationalize cybersecurity and data protection practices for each Technology Asset, Application and/or Service (TAAS) under their control.","CC2.1-POF1
CC2.1-POF2
CC2.1-POF3
CC2.1-POF4
CC3.1-POF5
CC5.1
CC5.1-POF1
CC5.1-POF2
CC5.1-POF3
CC5.1-POF4
CC5.1-POF5
CC5.1-POF6",,,5.1,6.12,,,,,,II.4.a,2,"164.306(a)(1)
164.306(b)(1)",,7123(b)(3),,,,,,,,,,,,,,,,,
,,,Select Controls,GOV-15.1,"Mechanisms exist to compel data and/or process owners to select required cybersecurity and data protection controls for each Technology Asset, Application and/or Service (TAAS) under their control.",CC5.1,,,,6.12,,,,,,,2,164.306(a)(1),,,,,,,,,,,,,,,,,,,
,,,Implement Controls,GOV-15.2,"Mechanisms exist to compel data and/or process owners to implement required cybersecurity and data protection controls for each Technology Asset, Application and/or Service (TAAS) under their control.",CC5.1,,,,6.12,,,,,,,2,"164.306(a)(1)
164.306(d)(3)(ii)(A)
164.308(a)(1)(ii)(B)",,,,,,,,,,,,,,,,,,,
,,,Assess Controls,GOV-15.3,"Mechanisms exist to compel data and/or process owners to assess if required cybersecurity and data protection controls for each Technology Asset, Application and/or Service (TAAS) under their control are implemented correctly and are operating as intended.",CC4.2-POF1,,,,6.12,,,,,,,2,164.306(a)(1),,,,,,,,,,,,,,,,,,,
,,,"Authorize Technology Assets, Applications and/or Services (TAAS)",GOV-15.4,"Mechanisms exist to compel data and/or process owners to obtain authorization for the production use of each Technology Asset, Application and/or Service (TAAS) under their control.",,,,,6.12,,,,,,,2,164.306(a)(1),,,,,,,,,,,,,,,,,,,
,,,Monitor Controls,GOV-15.5,"Mechanisms exist to compel data and/or process owners to monitor Technology Assets, Applications and/or Services (TAAS) under their control on an ongoing basis for applicable threats and risks, as well as to ensure cybersecurity and data protection controls are operating as intended.",,,,,6.12,,,,,,,2,164.306(a)(1),,,,,,,,,,,,,,,,,,,
,,,Identity & Access Management (IAM) ,IAC-01,Mechanisms exist to facilitate the implementation of identification and access management controls.,"CC6.1
CC6.1-POF3
CC6.1-POF7
CC6.1-POF8
CC6.1-POF9
CC6.6
CC6.6-POF2
CC6.6-POF3",,8.2.2,,,PR.AC-P1,"AC-1
IA-1",AC-1,"PR.AA
PR.AA-05",,,,"164.308(a)(3)(i)
164.308(a)(4)(i)
164.308(a)(4)(ii)(B)
164.310(a)(2)(iii)
164.312(a)(1)
164.530(c)(2)(ii)",45.48.510,"7123(c)(1)
7123(c)(3)
7123(c)(3)(C)",,,,,,,,,,"2447(b)(5)
2447(c)(1)(A)(iv)
2447(c)(1)(B)",,,,,,,
,,,Continuous Monitoring,MON-01,Mechanisms exist to facilitate the implementation of enterprise-wide monitoring controls.,"CC7.2
CC7.2-POF1",,,,,CT.DM-P8,"AU-1
PM-31
SI-4","AU-1
PM-31","DE.AE
DE.CM-01
DE.CM-03
DE.CM-06
DE.CM-09
PR.PS-04",,,,"164.308(a)(1)(i)
164.308(a)(1)(ii)(D)
164.312(b)",,7123(c)(7),,,,,,,,,,"2447(b)(2)(C)
2447(b)(8)
2447(b)(8)(A)",,,,,,,
,,,Centralized Collection of Security Event Logs,MON-02,"Mechanisms exist to utilize a Security Incident Event Manager (SIEM), or similar automated tool, to support the centralized collection of security-related event logs.","CC7.2
CC7.2-POF1
CC7.3",,,,,,"AU-2
AU-6
IR-4(4)
SI-4",AU-2,"DE.AE-03
DE.AE-06",,,,,,7123(c)(7),,,,,,,,,,,,,,,,,
,,,Security of Personal Data (PD),PRI-01.6,Mechanisms exist to ensure Personal Data (PD) is protected by logical and physical security safeguards that are sufficient and appropriately scoped to protect the confidentiality and integrity of the PD.,"CC6.1-POF13
P4.2-POF2",7,,,6.11,,,,,5,II.4.a,8,,,"7023(d)(4)
7024(f)","6-1-1305(2)(a)
6-1-1305(4)
6-1-1308(5)","15(e)(1)
15(e)(2)",,"45(a)
45(b)
45(c)
45(d)",,"5(1)(c)
6(1)(b)",47-18-3204(a)(3),,"59.1-578.A.3
59.1-579.A.1
59.1-579.B.1",,"24.1
25.1
25.2
32.1
32.1(a)
32.1(b)
5.1(f)",19,,,"8(4)
8(5)","Principle 5
P5-(a)
P5-(a)(i)
P5-(a)(ii)
P5-(a)(iii)
P5-(b)",
,,,Centralized Management of Cybersecurity & Data Protection Controls,SEA-01.1,Mechanisms exist to centrally-manage the organization-wide management and implementation of cybersecurity and data protection controls and related processes.,CC5.1,,,,,GV.PO-P2,PL-9,PL-9,PR.IR,,,,,,7123(c)(5)(B),"6-1-1305(4)
6-1-1308(5)",,,,,,,,,,,,,,,,
,,,Technology Development & Acquisition,TDA-01,"Mechanisms exist to facilitate the implementation of tailored development and acquisition strategies, contract tools and procurement methods to meet unique business needs.","CC2.3-POF10
CC5.2
CC5.2-POF4
PI1.2
PI1.3",,,,,,"PL-1
SA-1
SA-4
SA-23","PL-1
SA-1
SA-4","ID.RA-09
PR.PS-06",,,,,,7123(c)(14),,,,,,,,,,,,,,,,,
,,,Cybersecurity & Data Protection Testing Throughout Development ,TDA-09,"Mechanisms exist to require system developers/integrators consult with cybersecurity and data protection personnel to: 
(1) Create and implement a Security Testing and Evaluation (ST&E) plan, or similar capability;
(2) Implement a verifiable flaw remediation process to correct weaknesses and deficiencies identified during the security testing and evaluation process; and
(3) Document the results of the security testing/evaluation and flaw remediation processes.",CC4.1-POF1,,,,,"CT.DM-P9
CT.DM-P10","SA-11
SA-11(5)
SA-11(6)
SA-11(7)",SA-11,"ID.IM-01
ID.IM-02
ID.RA-01
PR.PS-06",,,,,,7123(c)(14),,,,,,,,,,,,,,,,,
7.1,Cybersecurity Considerations,"Incorporate data privacy requirements into enterprise architecture to ensure that risk is addressed so Technology Assets, Applications and/or Services (TAAS) achieve the necessary levels of trustworthiness, protection and resilience.",Cloud Services,CLD-01,Mechanisms exist to facilitate the implementation of cloud management controls to ensure cloud instances are secure and in-line with industry practices. ,CC6.1-POF5,,,,,,,,,,,,,,7123(c)(5)(B),,,,,,,,,,,,,,,,,
,,,Cloud Security Architecture ,CLD-02,"Mechanisms exist to ensure the cloud security architecture supports the organization's technology strategy to securely design, configure and maintain cloud employments. ",,,,,,,,,,,,,,,"7123(c)(10)
7123(c)(5)(B)",,,,,,,,,,,,,,,,,
,,,Operationalizing Cybersecurity & Data Protection Practices,GOV-15,"Mechanisms exist to compel data and/or process owners to operationalize cybersecurity and data protection practices for each Technology Asset, Application and/or Service (TAAS) under their control.","CC2.1-POF1
CC2.1-POF2
CC2.1-POF3
CC2.1-POF4
CC3.1-POF5
CC5.1
CC5.1-POF1
CC5.1-POF2
CC5.1-POF3
CC5.1-POF4
CC5.1-POF5
CC5.1-POF6",,,5.1,6.12,,,,,,II.4.a,2,"164.306(a)(1)
164.306(b)(1)",,7123(b)(3),,,,,,,,,,,,,,,,,
,,,Select Controls,GOV-15.1,"Mechanisms exist to compel data and/or process owners to select required cybersecurity and data protection controls for each Technology Asset, Application and/or Service (TAAS) under their control.",CC5.1,,,,6.12,,,,,,,2,164.306(a)(1),,,,,,,,,,,,,,,,,,,
,,,Implement Controls,GOV-15.2,"Mechanisms exist to compel data and/or process owners to implement required cybersecurity and data protection controls for each Technology Asset, Application and/or Service (TAAS) under their control.",CC5.1,,,,6.12,,,,,,,2,"164.306(a)(1)
164.306(d)(3)(ii)(A)
164.308(a)(1)(ii)(B)",,,,,,,,,,,,,,,,,,,
,,,Assess Controls,GOV-15.3,"Mechanisms exist to compel data and/or process owners to assess if required cybersecurity and data protection controls for each Technology Asset, Application and/or Service (TAAS) under their control are implemented correctly and are operating as intended.",CC4.2-POF1,,,,6.12,,,,,,,2,164.306(a)(1),,,,,,,,,,,,,,,,,,,
,,,"Authorize Technology Assets, Applications and/or Services (TAAS)",GOV-15.4,"Mechanisms exist to compel data and/or process owners to obtain authorization for the production use of each Technology Asset, Application and/or Service (TAAS) under their control.",,,,,6.12,,,,,,,2,164.306(a)(1),,,,,,,,,,,,,,,,,,,
,,,Monitor Controls,GOV-15.5,"Mechanisms exist to compel data and/or process owners to monitor Technology Assets, Applications and/or Services (TAAS) under their control on an ongoing basis for applicable threats and risks, as well as to ensure cybersecurity and data protection controls are operating as intended.",,,,,6.12,,,,,,,2,164.306(a)(1),,,,,,,,,,,,,,,,,,,
,,,Configuration Change Control ,CHG-02,Mechanisms exist to govern the technical configuration change control processes.,"CC2.2-POF13
CC3.4
CC3.4-POF4
CC6.8-POF3
CC8.1
CC8.1-POF1
CC8.1-POF10
CC8.1-POF11
CC8.1-POF13
CC8.1-POF14
CC8.1-POF2
CC8.1-POF3
CC8.1-POF4
CC8.1-POF5
CC8.1-POF6
CC8.1-POF7
CC8.1-POF8
CC8.1-POF9",,,,,PR.PO-P2,"CM-3
SA-8(31)",,ID.RA-07,,,,,,"7123(c)(4)(C)
7123(c)(5)(D)
7123(c)(5)(E)",,,,,,,,,,,,,,,,,
,,,Security Impact Analysis for Changes ,CHG-03,"Mechanisms exist to analyze proposed changes for potential security impacts, prior to the implementation of the change.","CC3.4
CC3.4-POF4
CC8.1-POF10
CC8.1-POF3",,1.2.6,,,,CM-4,CM-4,ID.RA-07,,,,,,"7123(c)(5)(D)
7123(c)(5)(E)",,,,,,,,,,,,,,,,,
,,,"Authenticate, Authorize and Audit (AAA)",IAC-01.2,"Mechanisms exist to strictly govern the use of Authenticate, Authorize and Audit (AAA) solutions, both on-premises and those hosted by an External Service Provider (ESP).","CC6.1-POF3
CC6.1-POF4
CC6.6
CC6.6-POF2
CC6.6-POF3",,,,,,"IA-4
IA-4(4)",,"PR.AA
PR.AA-03
PR.AA-04
PR.AA-05",,,,,,"7123(c)(1)(B)
7123(c)(3)",,,,,,,,,,,,,,,,,
,,,Multi-Factor Authentication (MFA),IAC-06,"Automated mechanisms exist to enforce Multi-Factor Authentication (MFA) for:
(1) Remote network access; 
(2) Third-party Technology Assets, Applications and/or Services (TAAS); and/ or
(3) Non-console access to critical TAAS that store, transmit and/or process sensitive/regulated data.",CC6.6-POF3,,,,,,"IA-2(1)
IA-2(2)",,,,,,,,7123(c)(1)(A),,,,,,,,,,,,,,,,,
,,,Role-Based Access Control (RBAC) ,IAC-08,"Mechanisms exist to enforce Role-Based Access Control (RBAC) for Technology Assets, Applications, Services and/or Data (TAASD) to restrict access to individuals assigned specific roles with legitimate business needs.","CC5.2-POF3
CC6.1
CC6.1-POF12
CC6.1-POF13
CC6.3
CC6.3-POF3",,,,,,AC-2(7),,PR.AA-05,,,,"164.308(a)(3)(i)
164.308(a)(3)(ii)(A)
164.308(a)(4)(ii)(C)
164.312(a)(1)
164.514(d)(2)(i)(A)
164.514(d)(2)(i)(B)
164.514(d)(2)(ii)
164.530(c)(2)(ii)",,"7123(c)(3)(A)
7123(c)(3)(A)(i)
7123(c)(3)(A)(ii)
7123(c)(3)(A)(iii)
7123(c)(3)(B)",,,,,,,,,,"2447(b)(5)
2447(c)(2)(A)",32.4,,,,,,
,,,Privileged Account Management (PAM) ,IAC-16,"Mechanisms exist to restrict and control privileged access rights for users and Technology Assets, Applications and/or Services (TAAS).",CC6.1,,,,,,,,,,,,,,7123(c)(3)(B),,,,,,,,,,,,,,,,,
,,,Least Privilege ,IAC-21,"Mechanisms exist to utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions. ","CC5.2-POF3
CC6.1
CC6.1-POF12
CC6.1-POF13
CC6.1-POF7",,,,,PR.AC-P4,"AC-6
SA-8(14)",,"PR.AA-05
PR.DS-10",,,,"164.308(a)(3)(i)
164.312(a)(1)",,"7123(c)(3)(A)
7123(c)(3)(A)(iii)
7123(c)(3)(B)",,,,,,,,,,,,,,,,,
,,,Management Approval For New or Changed Accounts,IAC-28.1,Mechanisms exist to ensure management approvals are required for new accounts or changes in permissions to existing accounts.,"CC6.2-POF1
CC6.3-POF1",,,,,,"AC-24
IA-12(1)",,,,,,164.308(a)(3)(ii)(A),,7123(c)(3)(C),,,,,,,,,,,,,,,,,
,,,Security of Personal Data (PD),PRI-01.6,Mechanisms exist to ensure Personal Data (PD) is protected by logical and physical security safeguards that are sufficient and appropriately scoped to protect the confidentiality and integrity of the PD.,"CC6.1-POF13
P4.2-POF2",7,,,6.11,,,,,5,II.4.a,8,,,"7023(d)(4)
7024(f)","6-1-1305(2)(a)
6-1-1305(4)
6-1-1308(5)","15(e)(1)
15(e)(2)",,"45(a)
45(b)
45(c)
45(d)",,"5(1)(c)
6(1)(b)",47-18-3204(a)(3),,"59.1-578.A.3
59.1-579.A.1
59.1-579.B.1",,"24.1
25.1
25.2
32.1
32.1(a)
32.1(b)
5.1(f)",19,,,"8(4)
8(5)","Principle 5
P5-(a)
P5-(a)(i)
P5-(a)(ii)
P5-(a)(iii)
P5-(b)",
,,,Secure Engineering Principles ,SEA-01,"Mechanisms exist to facilitate the implementation of industry-recognized cybersecurity and data protection practices in the specification, design, development, implementation and modification of Technology Assets, Applications and/or Services (TAAS).","CC2.2
CC3.2
CC5.1
CC5.2
CC6.1-POF2
CC8.1-POF15
CC8.1-POF18",,"4.2.3
6.2.2
7.2.2
7.2.3",,,"ID.DE-P4
GV.PO-P2
CT.PO-P1
CT.DM-P7
CT.DM-P8
CM.AW-P3","PT-1
SA-8
SC-1
SC-7(18)
SI-1
SA-15(5)","PT-1
SI-1","PR.IR
PR.IR-01
PR.IR-03",,II.4.a,,164.306(b)(1),,7123(c)(5)(B),"6-1-1305(4)
6-1-1308(5)",,,,,,,521.052,,"2447(a)
2447(a)(1)
2447(a)(1)(A)
2447(a)(1)(B)
2447(a)(1)(C)
2447(a)(1)(D)
2447(a)(2)",,,"APP Part 8
APP Part 11",,,,Principle 7
,,,Alignment With Enterprise Architecture ,SEA-02,"Mechanisms exist to develop an enterprise architecture, aligned with industry-recognized leading practices, with consideration for cybersecurity and data protection principles that addresses risk to organizational operations, assets, individuals and other organizations. ","CC3.1
CC4.1
CC5.1
CC6.1-POF2",,,,,GV.PO-P2,"PL-8
PM-7",PL-8,"PR.IR
PR.IR-01
PR.IR-03",,,,"164.306(b)(1)
164.306(b)(2)(ii)",,7123(c)(5)(B),"6-1-1305(4)
6-1-1308(5)",,,,,,,521.052,,"2447(a)
2447(a)(1)
2447(a)(1)(A)
2447(a)(1)(B)
2447(a)(1)(C)
2447(a)(1)(D)
2447(a)(2)",,,"APP Part 8
APP Part 11",,,,Principle 7
,,,Product Management,TDA-01.1,"Mechanisms exist to design and implement product management processes to proactively govern the design, development and production of Technology Assets, Applications and/or Services (TAAS) across the System Development Life Cycle (SDLC) to:
(1) Improve functionality;
(2) Enhance security and resiliency capabilities; 
(3) Correct security deficiencies; and
(4) Conform with applicable statutory, regulatory and/or contractual obligations.","PI1.1-POF1
PI1.1-POF2
PI1.1-POF3",,,,,,SA-23,,"GV.SC-09
PR.PS-06",,,,,,7123(c)(14),,,,,,,,,,,,,,,,,
,,,"Development Methods, Techniques & Processes",TDA-02.3,"Mechanisms exist to require software developers to ensure that their software development processes employ industry-recognized secure practices for secure programming, engineering methods, quality control processes and validation techniques to minimize flawed and/or malformed software.",,,,,,"CT.DM-P9
CT.DM-P10","SA-4(3)
SR-3(1)",,,,,,,,7123(c)(14),,,,,,,,,,,,,,,,,
,,,Pre-Established Secure Configurations,TDA-02.4,"Mechanisms exist to ensure vendors / manufacturers:
(1) Deliver the Technology Asset, Application and/or Service (TAAS) with a pre-established, secure configuration implemented; and
(2) Use the pre-established, secure configuration as the default for any subsequent TAAS reinstallation or upgrade.",,,,,,,SA-4(5),,,,,,,,7123(c)(14),,,,,,,,,,,,,,,,,
,,,"Insecure Ports, Protocols & Services",TDA-02.6,"Mechanisms exist to mitigate the risk associated with the use of insecure ports, protocols and services necessary to operate technology solutions. ",,,,,,,,,,,,,,,7123(c)(14),,,,,,,,,,,,,,,,,
,,,Cybersecurity & Data Privacy Representatives For Product Changes,TDA-02.7,Mechanisms exist to include appropriate cybersecurity and data privacy representatives in the product feature and/or functionality change control review process.,,,,,,,SA-10(7),,,,,,,,7123(c)(14),,,,,,,,,,,,,,,,,
,,,Minimizing Attack Surfaces,TDA-02.8,"Mechanisms exist to minimize the attack surface of Technology Assets, Applications and/or Services (TAAS) by reasonably mitigating known exploitable vulnerabilities.",,,,,,,,,,,,,,,7123(c)(14),,,,,,,,,,,,,,,,,
,,,Ongoing Product Security Support,TDA-02.9,"Mechanisms exist to deliver security updates to Technology Assets, Applications and/or Services (TAAS), where applicable, through:
(1) Automatic updates; and
(2) Notification of available updates to affected users.",,,,,,,,,,,,,,,7123(c)(14),,,,,,,,,,,,,,,,,
,,,Product Testing & Reviews,TDA-02.10,"Mechanisms exist to regularly review Technology Assets, Applications and/or Services (TAAS) for an appropriate level of security and resiliency based on applicable risks and threats.",,,,,,,,,,,,,,,7123(c)(14),,,,,,,,,,,,,,,,,
,,,Disclosure of Vulnerabilities,TDA-02.11,"Mechanisms exist to disclose information about vulnerabilities to relevant stakeholders, including:
(1) A description of the vulnerability(ies);
(2) Affected product(s) and/or service(s);
(3) Potential impact of the vulnerability(ies);
(4) Severity of the vulnerability(ies); and
(5) Guidance to remediate the vulnerability(ies).",,,,,,,,,,,,,,,"7123(c)(14)
7123(c)(6)",,,,,,,,,,,,,,,,,
,,,Secure Software Development Practices (SSDP),TDA-06,Mechanisms exist to develop applications based on Secure Software Development Practices (SSDP).,"PI1.1
PI1.2
PI1.2-POF1
PI1.2-POF2
PI1.2-POF3
PI1.3
PI1.3-POF1
PI1.3-POF2
PI1.3-POF3
PI1.3-POF4
PI1.3-POF5
PI1.4
PI1.4-POF1
PI1.4-POF2
PI1.4-POF3
PI1.4-POF4
PI1.5
PI1.5-POF1
PI1.5-POF2
PI1.5-POF3
PI1.5-POF4",,,,,"CT.PO-P1
CT.DM-P7
CT.DM-P8
CT.DM-P9
CT.DM-P10","SA-1
SA-4(3)
SA-15",SA-1,PR.PS-06,,,,,,7123(c)(14),,,,,,,,,,,,,,,,,
